,inteiro_teor,ementa
1520,"judgment 7th class ppm / aps visa, reported and discussed these documents of interlocutory appeal against appeal in a magazine resource n ° tst-ag-airr-180200-71.2007.5.02.003, in which union (pgu) is aggravating and aggravated Brazilian Israeli charity hospital albert einstein .
the union filed an interlocutory appeal (sequential nº 8), in view of the order (sequential nº 5), which denied following up the interlocutory appeal in a magazine appeal, based on articles 896, § 5, of the clt and 557, caput, of the cpc .
strives for the provision of this resource.
therefore, there is a dissociation between the reasons brought in the interlocutory appeal and the denial order, since the appellant only referred to the background material of the magazine appeal and added that the order should be reconsidered.
it is also necessary to register the understanding embodied in Precedent No.
in view of the above, I do not know of the grievance.","interlocutory appeal against appeal in magazine appeal. appeal that does not attack the grounds of the aggravated decision. unfounded.

the mere presentation of a ground dissociated from that on which the contested decision is based does not serve the purpose of the interlocutory appeal, which is to dismiss the attacked order. incidence of Precedent No. 422 of the Superior Labor Court. grievance that is not known."
1521,"the c o rd (4th class) gmmac / r3 / rjr / r these visas of declaration embargoes in an interlocutory appeal were reviewed, reported and discussed in a resource of magazine no.
r e l a t a r i o the claimant opposes embargoes of declaration in the face of the court ruling published on 8/3/2012, stating that the judgment is omitted.
422 / tst, it failed to analyze the violation of art.
it is a mere non-conformity with the failure of the review appeal, which was not caused by an eventual excessively formal conduct by this judging group, but by the ineffective elaboration of the appeal grounds (on pages 469/474-e), who stopped attacking the fundamentals of the decision to deny the appeal.
296 of the TST, nor does it ignore the obstacle pointed out in the denial order referring to the fact that the analysis of legitimacy ad causam is impaired, given the lack of knowledge of the ordinary appeal by the regional .
with regard to the analysis of the violation of article 8, v of the cf, it had its analysis impaired due to the application of the n ° 422 of the tst, being undue to speak of omission.","declaration embargoes. omission. inexistence. deprivation.

the motion for clarification is dismissed when the existence of omission, contradiction or obscurity in the embargoed judgment is not demonstrated, as well as a manifest error in the examination of extrinsic appeals, hypotheses provided for in arts. 897-a of the clt and 535 of the cpc."
1522,"judgment 5th class emp / gm these visas of embargoes of declaration were reviewed, reported and discussed in a resource of magazine n ° tst-ed-rr-176200-38.2008.5.02.008, in which rodrigo policarpo barreto and embargada União (pgu) is embargoing.
rodrigo policarpo barreto opposes embargoes of declaration in face of the judgment of the 5th class of tst, indicating the defects provided for in articles 897-a of the clt and 535 of the cpc is the report.
the grounds for finding out about the union's review appeal for violation of articles 109 and 114, iv, of the republic's constitution were duly consigned in the embargoed judgment, so that all the matter relating to the topic under discussion was duly analyzed.
thus, it appears that the embargo tries to dismantle a decision that was unfavorable to him, and not to remedy an irregularity, since it does not exist.
it is also pointed out that the defect that the plaintiff understands to have in the judgment could only characterize error in iudicating, subject to modification only by own resource.","declaration embargoes. addictions. inexistence.

if any of the defects specified in articles 535 of the cpc and 897-a of the clt are not evidenced, the opposition to the embargoes of declaration is not feasible.

declaration embargoes rejected."
1523,"the c o rd (5th class class) bp / ja seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-1361-79.2010.5.03.010, in which keila pacheco ferreira is aggravating and aggravated olive oil education and culture association.
counterflow to pages 694/700 and counter reasons to pages 703/709.
the appeal was not submitted to the opinion of the public labor ministry.
the review appeal was denied on the following grounds: prescription.
civil procedural and labor law / process and procedure / evidence.
the foundations of v. judgment, it appears that the appellant party, in its theme (s) and developments, does not demonstrate valid and specific divergence in jurisprudence, nor does it literally and directly violate any provision of federal law and / or the constitution of the republic, as requires article 896, paragraphs a and c, of the consolidation of labor laws (pages 679).
therefore, I dismiss the interlocutory appeal.","interlocutory appeal. an interlocutory appeal is denied when its reasons, by means of which it is intended to demonstrate that the review appeal meets the admissibility assumptions set forth in art. 896 of the clt, fail to rule out the fundamentals of the aggravated order."
1524,"judgment 2nd class gmrlp / jw / cet / ial viewed, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-81800-25.2009.5.24.007, in which constructions and trade camargo corrêa s.a. and aldemír nilo de andrade, louzada e magalhães ltda.
250/256, that his appeal was worth pursuing.
counter-draft presented on p. 279/281 of seq.
thus, in the face of the absence of feedback, the aggravating factor demonstrated its conformity with the r. denial order.
of the above, I am aware of the interlocutory appeal to dismiss it.
this said, the ministers of the second class of the higher labor court agree, unanimously, to know the interlocutory appeal to dismiss it.","interlocutory appeal. magazine feature. absence of devolutiveness of the materials in the review appeal - maintenance of the admissibility judgment a quo.

an interlocutory appeal is denied, which seeks to release an appeal devoid of proper assumptions. interlocutory appeal."
1525,"the c o rd (4th class) gmmac / r3 / nn / dr These visas, declarations of embargoes of declaration in the interlocutory appeal were reviewed, reported and discussed in appeals from magazine no.
and fundacao vale do rio doce of social security vuel and luis de almeida leao are embargoed.
vote admissibility I am aware of the embargoes because they were timely and fulfilled their general requirements for admissibility.
7, xxix, of the 1988 Federal Constitution.
Now, what the party treats as the need to complement the judicial provision delivered represents nothing more than simple arguments aimed at guaranteeing the reform of the judgment that was not favorable to him, a situation not guaranteed by the provisions based on the legislation indicated above.
the motion for clarification is dismissed.","declaration embargoes. deprivation.

the motion for clarification is dismissed when the existence of omission, contradiction, obscurity or material error in the embargoed judgment has not been demonstrated, hypotheses provided for in arts. 897-a of the clt and 535 of the cpc."
1526,"judgment 5th class emp / igr / arn These visas of embargoes of declaration in the interlocutory appeal were reviewed, reported and discussed in appeal No.
tst-ed-airr-13100-49.2006.5.03.001, in which itaú unibanco s.a. and embargoed marcia natália dutra ramalho e silva.
the defendant opposes embargoes of declaration in view of the judgment of the 5th tst class, indicating the defects provided for in articles 897-a of the clt and 535 of the cpc.
the defendant opposes embargoes of declaration to the judgment issued by the 5th tst class, since, in his opinion, there was an omission in the judgment.
argues that it is not the case of the application of the obstacle of precedent No.
thus, it appears that the embargo tries to dismantle a decision that was unfavorable to him, and not to remedy an irregularity, since it does not exist.","the defendant's declaration embargoes. addictions. inexistence.

if any of the defects specified in articles 535 of the cpc and 897-a of the clt are not evidenced, the opposition to the embargoes of declaration is not feasible.

declaration embargoes rejected."
1527,"the c o rd (8th class) gmdmc / rlj / nc / mm these visas of declaration embargoes were reviewed, filed and filed with appeal no.
alleges omission in the decision now embargoed.
concluded, the motion for clarification was received and put on the table for judgment.
the defendant maintains that the judgment was in default.
it is well known that it is not possible to transcribe certain paradigms for reasons of embargoes of declaration, thus, we do not proceed to analyze those reproduced in the pages.
it is observed, on the other hand, that the non-conformity of the embargo concerns the solution given to the dispute, being certain that the disagreement of the party with the content of the embargoed decision does not entail modification through the narrow way of the declaratory embargoes, especially in the case of the case , in which the embargoed decision is explicit as to the reasons that led the class to know and provide the interlocutory appeal and, on an ongoing basis, the appeal filed by the claimant on the topic related to the 12 x 36 hour work regime.","embargoes of declaration in appeal of magazine with interlocutory appeal. working schedule 12 x 36 hours. Declaration embargoes with impugnative content are rejected, as opposed to a decision whose legal grounds have been explained in understandable and coherent terms, in addition to covering the entire topic.

declaration embargoes rejected."
1528,"judgment 7th class ppm / fsp seen, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-215-97.2010.5.03.010, in which schincariol logistica e distribuicao ltda.
vote acknowledged the admissibility assumptions, I am aware of the declaration embargoes.
in view of the foregoing, the delaying nature of the declaration embargoes is clear.
the procedure adopted by the embargo, which does not conform to a complete and valid decision, however, contrary to its interests, causes useless movement of the judiciary power, already overburdened.
minister delaíde miranda arantes, order the plaintiff to pay the plaintiff a fine of 1% on the value of the case, based on article 538, sole paragraph, of the cpc.","embargoes of declaration in appeal of magazine. contrary to what the plaintiff alleges, the issue regarding the application of Precedent No. 85, iii, of the tst was expressly analyzed in the embargoed decision. declaration embargoes that are rejected, with a fine."
1529,"the c o rd (8th class) gmmea / yv visa, reported and discussed these records of interlocutory appeal in instrument appeal in a magazine resource n ° tst-agr-airr-231600-53.2009.5.15.001, in which the urban and social development company of sorocaba is aggravating and mass is aggravated bankruptcy of tcs-Transportes colectivos de sorocaba ltda and cesar martins da silva junior.
the defendant lodges an interlocutory appeal (file seq.
5), by which the interlocutory appeal was dismissed.
inadequacy disagreed with the judgment of this class, which dismissed the interlocutory appeal; however, the present appeal is manifestly unavoidable, as it is not supported by current legislation.
557, §1 of the cpc) or a regulatory appeal (art.
such resources are intended exclusively to challenge a monocratic decision in the cases expressly provided for.
so, as absolutely unstoppable, I am not aware of this appeal.
That said, the ministers of the eighth class of the higher labor court agree, unanimously, not to know about the regimental appeal.","interlocutory appeal on appeal appeal in a magazine resource. electronic process - class decision. inadequacy.

under the terms of oj 412 of sbdi-1 of tst, it is unavoidable that interlocutory appeal against collegiate decision is unavoidable, the fungibility principle being inapplicable, as it is a gross error. grievance not known."
1530,"the c o rd (2nd class) gmcb / acsf / hfb this document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-2103-57.2010.5.09.000, in which geraldo nievola is aggravating and gelopar refrigeration paranaense ltda.
the plaintiff alleges, in summary, that its appeal deserves to be unblocked, as the framework of the hypothesis in article 896, a, of the clt.
( counterminute attached to pages 331/341 (electronic numbering) and counter reasons to the magazine resource attached to pages 343/355 (electronic numbering).
the d. public labor ministry did not officiate in the file.
That said, the ministers of the second class of the higher labor court agree, unanimously, not to be aware of the interlocutory appeal.","interlocutory appeal. absence. mandatory parts. not knowledge.

absence of mandatory parts prevents knowledge of the present interlocutory appeal.

in this case, the appellant failed to provide for the transfer of the magazine appeal, the denial decision and its respective certificate.

grievance of an instrument that is not known."
1531,"8th class) gmmea / dcc / bsa seen, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-141-97.2011.5.03.001, in which it is clear aggravating s.a. and the & c contact center are aggravated.
lodges an interlocutory appeal (pages 384/389) against the dispatch of pages.
remittance of the records to the public labor ministry is waived, according to art.
maintains that the appeal in question was transmitted electronically, duly accompanied by the payment slips for the court fees and appeals deposit.
the insurgency against the recognition of the defection of the ordinary appeal was not part of the reasons for the blocked appeal (pages 360/374), in which the party limited itself to discussing the issue of the lawfulness of the outsourcing of call center services by the concessionaires of the telecommunications services, setting a blatant appeal for innovation.
therefore, it is not feasible to assess offense against the indicated legal and constitutional provisions.","interlocutory appeal in magazine appeal. electronic process -

defection from ordinary appeal. resource innovation.

the interlocutory appeal is dismissed which does not succeed in dismantling the grounds of the order which denied the continuation of the appeal. interlocutory appeal that was dismissed."
1532,"the c o rd (8th class) gjcmlf / mcpr / bv This document of interlocutory appeal was seen, reported and discussed in a resource of magazine n ° tst-airr-78101-43.2006.5.15.005, which is an aggravating central-atlantic railroad s.a. and benedito moacir spoti, seripav constracoes e commerce ltda, vale s.a. the records were not sent to the public labor ministry, pursuant to article 83, paragraph 2, of the tst internal regulations.
vote 1 - preliminary knowledge, it should be noted that the interlocutory appeal was filed on 06/21/2019, that is, prior to the effectiveness of administrative resolution No.
897, §5º, of clt and item ii, of normative instruction No.
therefore, it is the party's obligation to provide the correct transfer of parts, there is an insurmountable obstacle to knowledge of the resource.
I don't know about the instrument appeal.","interlocutory appeal brought before administrative resolution no. 1,418 / 2010. absence of instrument formation.

since it is an unavoidable obligation of the party to carry out the correct transfer of the parts necessary for the formation of the instrument, there is an insurmountable obstacle to knowledge of the appeal filed.

interlocutory appeal not known."
1533,"judgment sbdi-1 acv / kl-fs these visas of embargoes were seen, reported and discussed in resource of magazine n ° tst-e-rr-587-54.2010.5.04.035, in which it is embargoing angela maria gralha lawrenz and embargada unidasul distribuidora alimentimenta s.a .. a c. 8th class, through the judgment of the exma's mining.
minister dora maria costa, was unaware of the appeal filed by the claimant, on the grounds that v. The regional judgment is in line with Precedent No.
188 / tst, regarding the automatic extension of the experiment contract.
transcribes edges for the confrontation of theses.
vote extrinsic assumptions of admissibility the judgment was published on 03/16/2012.
the embargo appeal was filed on 03/26/2012.
experience contract - automatic extension clause.
That said, the ministers of subsection i specialized in individual disputes of the higher labor court agree, unanimously, not to be aware of the embargoes.","embargoes. experience contract. Automatic renovation.

knowledge of the resource is not feasible, pursuant to art. 894, ii, da clt, insofar as the edges brought up for confrontation come from regional courts, a hypothesis not listed in the aforementioned provision. embargoes not known."
1534,"the c o rd (3rd class class) gmalb / fco / abn / ab / mki these visas of declaration embargoes in an interlocutory appeal were reviewed, reported and discussed in appeals magazine n ° tst-ed-airr-336000-71.1996.5.02.000, in which guy puglisi is embargo and bankruptcy of therapy confessions and export ltda.
5, lxxviii, and 7, xxix, of the federal constitution for the application of intercurrent prescription.
5, lxxviii, of the major letter, indicated only for the reasons of these embargoes, will degrade analysis, as it constitutes a flagrant appeal innovation.
the grounds of the regional judgment, observed in the embargoed judgment, were in the sense that it is not an intercurrent prescription, since the notice to close the bankruptcy was published on 14 and 18.1.2005 and the plaintiff requested to proceed execution against the partners on 4.10.2008, which is why there is no question of violation of art.
that is, the judgment contains an explicit reasoning about such questions, therefore, there is no defect.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

dissatisfaction with the outcome of the judgment will require other measures, according to the applicable procedural guidelines. so it is that, opposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
1535,"the c o rd (4th class) gmmac / r3 / fgfl / l viewed, reported and discussed these notices of embargoes of declaration in resource of magazine nº tst-ed-rr-263900-53.2005.5.07.000, in which it is embarrante telemar norte Leste s. The.
and embargoed silvio francisco assunção teixeira.
r e l a t o r i o the defendant opposes embargoes of declaration in the face of the court judgment issued on March 14, 2012, stating that the judgment is omitted.
merit the defendant states that the embargoed decision is silent, as it would not have observed that the regional decision expressly states that no stability favors the author's interest.
that conclusion reached by the regional - no stability favors the interest of the author - started from an incomplete analysis of the worker's claim, reason why he could not prevent a new examination of the matter.
in view of the foregoing, I dismiss the motion for clarification.","declaration embargoes. omission. inexistence. deprivation.

the motion for clarification is dismissed when the existence of omission, contradiction or obscurity in the embargoed judgment is not demonstrated, as well as a manifest error in the examination of extrinsic appeals, hypotheses provided for in arts. 897-a of the clt and 535 of the cpc."
1536,"the c o rd (8th class) gjcmlf / as / wt / bv these notices of embargoes of declaration were seen, reported and discussed in a resource of magazine n ° tst-ed-rr-460700-90.2009.5.12.003, in which the federal savings bank - cef is embargo and maiksan tuon and bsi do brasil ltda are embargoed .
( I determined the presentation of the feat on a table, in regimental form.
is that the attorney signing the motion for clarification, dr. note that in the mandate instruments at f. 142/143, 728/729, 1116, 1244 and 1284/1285 were not granted powers to the patron who signed the declaration embargoes, nor is there any mention of tacit mandate, before the minutes of the hearing at f. 706, 1112, 1140 and 1144. it should be emphasized that, in the hypothesis, the rule of article 13 of the cpc does not apply, since the regularization of the mandate, provided for in this provision, is inapplicable in the appeal phase, by virtue of the summary no.
on these grounds, I am not aware of the declaration embargoes, due to irregular representation.","declaration embargoes - irregularity of representation -

the attorney signing the appeal is not entitled to postulate in the file, as the procedural representation is irregular, under the terms of article 37, sole paragraph, of the cpc and the summary no. 164 of the tst.

declaration embargoes not known."
1537,"the c o rd (8th class) gjcmlf / fls / bv visa, reported and discussed these notices of embargoes of declaration in interlocutory appeal in resource of magazine n ° tst-ed-airr-117100-06.2005.5.13.000, in which it is embargoing union (pgu) and embargoed antonio eudes vieira and others .
having examined the records, I determined that they be placed on a table.
2 - merit this group dismissed the appeal of the union, expressly expounding a thesis on the following issues invoked in the interlocutory appeal: preliminary for denial of jurisdictional provision, incompetence of the labor justice and intercurrent prescription.
114, caput, i. however, in spite of the arguments of the embarante, in the judgment of this class, none of the authorizing hypotheses of the embargoes of declaration, especially the alleged omission, is verified, considering that all the questions raised are fully analyzed and decided in a clear and reasoned.
there is therefore no question of omission, contradiction or obscurity to be remedied.
absent the requirements of articles 897-a of the clt and 535 of the cpc, I reject the motion for clarification.","declaration embargoes. interlocutory appeal. magazine feature. negative jurisdictional provision. incompetence of labor justice. intercurrent prescription.

the authorizing hypotheses for the declaration embargoes, provided for in articles 897-a of the clt and 535 of the cpc, are not configured.

declaration embargoes rejected."
1538,"judgment 7th class ppm / frpc These notices of declaration embargoes were seen, reported and discussed in resource of magazine n ° tst-ed-rr-8400-04.2008.5.12.002, in which Banco do Brasil SA (successor of the bank of the state of Santa Catarina Catarina - besc) and embargoed hilson rosa.
vote knowledge of declaratory embargoes, since they are regularly opposed.
merit in his reasons for embargoes of declaration, the embarante points the occurrence of offense to article 5, item xxxvi, of the federal constitution (fl.
as can be seen, the party's irresignation, when claiming that the decision violates this or that precept of law - pertinent to the merits of the demand -, escapes the objective of the declaration embargos, which must seek only the correction of mistakes in the examination of extrinsic assumptions of the appeal, material errors, obscurity, contradiction or omission in the judgment.
therefore, the existence of none of the hypotheses listed in article 535 of the code of civil procedure or 897-the consolidation of labor laws to support the claim of the embargo is verified.
In view of the foregoing, I reject these embargoes of declaration.","embargoes for review of appeal.

embargoes of declaration that are rejected because there was no omission, obscurity or contradiction in the judgment, under the terms of article 535 of the code of civil procedure, nor equivocal in the examination of the extrinsic assumptions of the appeal, under the terms of article 897-a of the consolidation of the laws of the job."
1539,"judgment 7th class ppm / re these documents of interlocutory appeal were reviewed, discussed and discussed in an appeal filed by magazine n ° tst-ag-airr-77540-02.2008.5.14.014, in which the bank of the amazon s.a. - basa is aggravating and aggravated by marcelo freire de sena.
896, § 5, of the clt and 557, caput, of the cpc.
strives for the provision of this resource.
vote knowledge resource that does not attack the grounds of the appealed decision - the decision now appealed has been unfounded, denied proceeding to the interlocutory appeal, to the understanding that the appeal is found to be in jeopardy in the preceding paragraphs 126 and 297 of this court, in the same terms of the denial order issued by the court regional.
thus, the aggravating clause did not rise, not even in the slightest, with respect to the obstacles erected in the order.
pursuant to the provisions contained in arts.","interlocutory appeal against appeal in magazine appeal. appeal that does not attack the grounds of the aggravated decision. unfounded. the mere presentation of a ground dissociated from that on which the contested decision is based does not meet the purpose of the interlocutory appeal; that is, to dismiss the said order. incidence of Precedent No. 422 of the Superior Labor Court. grievance that is not known."
1540,"the c o rd (8th class) gmmea / st / afe seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-54200-68.2009.5.15.004, in which robert bosch ltda.
and aggravated irene appeared silva dos santos.
there was no presentation of counter-draft, according to the certificate of pages.
remittance of the records to the public labor ministry was waived, in accordance with article 83, paragraph 2, ii, of the internal regulations of the tst.
the appellant contends that the divergence in jurisprudence has been demonstrated.
it appears that the aggravating factor did not substantiate its appeal in § 6 of article 896 of the clt, and did not indicate any constitutional precept that might have been violated, nor did it add any contrariety to the summary of jurisprudence of the tst.
therefore, due to the lack of a presumption of intrinsic admissibility, it is impossible to unlock the magazine resource.","interlocutory appeal in magazine appeal. electronic process - extremely short procedure. intra-day break.

in the cases subject to the summary procedure, only a review appeal will be allowed due to the contrary, the summary of uniform jurisprudence of the superior labor court and direct violation of the constitution of the republic. interlocutory appeal that was dismissed."
1541,"judgment 7th class ppm / rfs This document of interlocutory appeal was seen, reported and discussed in resource of magazine n ° tst-airr-91840-47.2006.5.02.008, in which maria de fátima costa is aggravating and aggravated metal company prada.
counterflow on pages 125/128 and counter-reasons to pages 131/137.
the opinion of the attorney general's office is waived, pursuant to article 83, paragraph 2, ii, of the internal regulations of the tst.
vote in view of the provision of magazine appeal no.
that said, the ministers of the seventh class of the higher labor court agree, unanimously, to judge the examination of the interlocutory appeal harmed.","interlocutory appeal in magazine appeal.

in view of the provision of magazine appeal no. tst-rr- 91800-65.2006.5.02.008, where the desertion was ruled out and the return of the records to the regional court was determined, the analysis of this interlocutory appeal remains impaired."
1542,"judgment 5th emp class / viewed, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-57400-82.2008.5.15.008, in which aggravating anesio vieira da silva and aggravated by José António Vieira.
without forwarding the records to the attorney general's office, in view of the provisions of article 83 of the internal regulations of the superior labor court.
intrinsic assumptions duration of work / overtime regarding the reception of overtime and reflexes, v. judgment, in addition to being based on the evidence, ruled in accordance with jurisprudential guidance 233 of sdi-1 of c. tst.
thus, the measurement of offense to the legal provisions invoked and divergence in jurisprudence is not feasible.
incidence of overviews 126 and 333 of c. tst.
conclusion denego follow-up to the review resource.","interlocutory appeal. magazine feature.

the denial of following up on the review appeal should be confirmed when its admissibility requirements are not met.

interlocutory appeal."
1543,"judgment 7th class ppm / fsp seen, reported and discussed these records of interlocutory appeal against appeal in a magazine resource n ° tst-ag-airr-13853-94.2010.5.04.000, in which is aggravating hospital of clinics in porto alegre and aggravated by luís gustavo paulleti lima.
also argues that the copy in question is not mandatory, under the terms of article 897, § 5, i and ii, of the clt.
the records being compelled, it turns out that, in fact, a copy of the publication certificate of the judgment of the declaration embargoes was not attached, a mandatory part, according to the discipline of article 897, § 5, i, of the clt, since it is indispensable checking the timing of the main resource.
That said, the ministers of the seventh class of the higher labor court agree, unanimously, to dismiss the appeal.","interlocutory appeal against appeal in magazine appeal. transfer disability.

the transfer formed without the copy of the certificate of publication of the judgment of the embargoes of declaration, a mandatory part, according to the discipline of article 897, § 5, i, of the clt, is deficient, since it is essential to verify the timeliness of the main appeal. interlocutory appeal dismissed."
1544,"the c o rd (3rd class class) gmalb / fco / abn / ab / np these visas of declaration embargoes in an interlocutory appeal were reviewed, reported and discussed in appeal No.
tst-ed-airr-34500-98.2010.5.13.002, in which transnordestina logistica s.a. in any case, the question is factual and the decision was duly substantiated.
that is, the judgment contains an explicit reasoning about such questions, therefore, there is no defect.
it should be noted that the declaration embargoes do not authorize the establishment of a dialogue between the parties and the court, never making it possible to modify the substance of the judgment, when the defects that the law, exhaustively enumerates, are absent.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

dissatisfaction with the outcome of the judgment will require other measures, according to the applicable procedural guidelines. so it is that, opposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
1545,"judgment 6th class acv / amd / c seen, reported and discussed these records of interlocutory appeal in appeal in appeal in magazine appeal n ° tst-agr-ag-airr-110900-46.2008.5.02.024, in which maria valdilene dos santos dario is aggravating and aggravated drug abuse sa.
tst and the absence of violation of the devices invoked by the claimant, on pages 1/22 of sequential 12, interlocutory appeal, sustaining offense to the principle of primacy of reality.
under the terms of article 239 of the internal regulations of this superior labor court, an interlocutory appeal is only allowed against decisions rendered monocratically, by means of an order, and not against the decision of the collegiate body, as in the case in question.
in view of the foregoing, I do not know of the grievance, as it is manifestly unacceptable, according to the content of art.","interlocutory appeal filed against the collegiate decision. unstoppable resource.

it is not known of an interlocutory appeal filed against the judgment of the class that dismissed the interlocutory appeal. grievance not known."
1546,"judgment 7th class gmdma / fsa / visas, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-1573-85.2010.5.03.001, in which the energy company of minas gerais - cemig and others are aggravating - aggravated public ministry of labor of the 3rd region.
remittance of the case to the public labor ministry is waived.
896 of the clt, are useless for the confrontation of theses.
conclusion denego follow-up to the review resource.
they also renew the discussion of merits, repeating the reasons for reviewing the appeal.
the defendants, as can be seen, do not attack the basis of the aggravated decision, that is, the fact that the jurisprudential divergence brought to collation is useless for the collimated end, since it comes from bodies not listed in paragraph a of art.
conversion of jurisprudential guidance No.
137/05 - dj 22.08.05) there is no appeal against tst, due to the absence of the admissibility requirement set forth in art.","interlocutory appeal in magazine appeal. in which case the reasons offered by the appellants do not attack the basis of the appealed decision. scoresheet 422 of the tst. the absence of a link between the aggravated decision and the reasons for non-conformity offered in the interlocutory appeal, attracts the incidence of the summary no. 422 of the tst.

interlocutory appeal not known."
1547,"the c o rd (5th class class) bp / mf seen, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-140900-22.2009.5.03.003, in which josé antônio dos santos is aggravated and magnesite refractory is aggravated s.a. it is an interlocutory appeal filed against the order by which the appeal was denied.
the appeal was not submitted to the opinion of the public labor ministry.
vote the appeals assumptions of the instrument appeal were satisfied.
regarding occupational disease, the regional court found the absence of the indispensable relational nexus between the worker's illness and his activities in favor of the defendant (pages 759).
the incidence of the summary 126 of this court, in itself, prevents the examination of the appeal both for violation of the provision of law and for divergence in jurisprudence.","interlocutory appeal.

an interlocutory appeal is denied when its reasons, by means of which it is intended to demonstrate that the review appeal meets the admissibility assumptions set forth in art. 896 of the clt, fail to rule out the fundamentals of the aggravated order."
1548,"judgment 6th class acv / gp visas, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-1578-96.2011.5.10.010, in which it is embarrasing eliza cristina de oliveira and embarked company of the metropolitan of the federal district - subway- df.
states that, contrary to what has been decided, all the fundamentals of eg.
trt were contested on the grounds of review appeal.
vote reasons for not knowing the embargoes of declaration should not be known, because they are untimely.
as established in article 897-a of the clt, the embargoes of declaration must be opposed within five days from the publication of the sentence or judgment, in which it is intended to remedy omission, obscurity or contradiction: art.
the judgment of this c. The class was published in the electronic diary of labor justice on 10/18/2012, and was considered published on 10/19/2012 (Friday), under the terms of Law No.","declaration embargoes. timeliness.

declaration embargoes filed outside the five-day period established by article 897-a of the clt are untimely. declaration embargoes not known."
1549,"the c o rd (sdc) gmmea / mab visa, reported and discussed these notices of embargoes of declaration in ordinary appeal n ° tst-ed-ro-2024600-60.2009.5.02.000, in which is embarantes aventis pharma ltda.
- ( currently called fairway poliester ltda.)
current denomination of fairway poliester ltda opposes embargoes of declaration, with fulcrum in the arts.
897-a, of clt and 535, i and ii, of cpc (sequential 12).
2 - merit points to the now embarrasing contradiction and obscurity in the embargoed judgment relating to the non-acceptance of the limitation allegation, but the foundation of the meeting's irregularity was adopted for the declaration of nullity of the agreement.
therefore, the request made is not prescribed .
in addition, any request for a declaration of nullity by the assembly was not even considered prescribed, so that the contradiction and obscurity mentioned were absent.","embargoes of declaration in ordinary appeal in an annulment action - mere non-conformity with the content of the embargoed decision, without proof of omission, contradiction, obscurity or equivocal manifestation in the examination of the extrinsic assumptions of the appeal is not compatible with the nature of the declaratory embargoes. declaration embargoes rejected."
1550,"judgment 6th class acv / rbb these visas of embargoes of declaration in the interlocutory appeal were reviewed, reported and discussed in appeals from magazine n ° tst-ed-airr-124600-38.2009.5.05.064, in which isabel rodrigues de lima camargo and embargoed municipality of urandi is embargoing.
the claimant opposes a motion for clarification on the grounds that it c. The class did not express its opinion about the amount of collision to confront the pages.
382 of this court, emphasizing that this fact makes the admissibility of the appeal unfeasible due to jurisprudential dissent, given the obstacle of Precedent No.
333 of this body of the labor justice summit.
this was the reason why there was no analysis of the judgment placed on pages.
on the other hand, even if it were not so, the judgment would not even boost the knowledge of the magazine resource, in the absence of an indication of the official source or the authorized repository in which it was published, in the manner required by the 337, i, a / tst.
therefore, I reject the motion for clarification.","declaration embargoes. biennial prescription. change to the statutory regime. scoresheet 382 / tst. omission. hypothesis in which it is not characterized.

the inexistence in v. judged to be omission, contradiction or obscurity in the exact terms of article 535 of the code of civil procedure, leads to the rejection of embargoes of declaration."
1551,"the c o rd (3rd class class) gmalb / wbs / mal / ab / np these visas of declaration embargoes in an interlocutory appeal were reviewed, reported and discussed in appeal no.
tst-ed-airr-298-81.2010.5.05.003, in which ilton reis fahning and embargo banco bradesco s.a. the plaintiff rises to the ground that there is no proof of his confession as to the receipt of the parcels object of the dispute.
insists on the nullity of the regional judgment.
Obviously, the omission must be raised with the judgment that produces the decision.
at the time, the alleged refusal to provide jurisdictional services was ruled out.
the declaration embargoes do not authorize the establishment of a dialogue between the parties and the court, never making it possible to modify the substance of the judgment, when the defects that the law, exhaustively enumerates, are absent.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

dissatisfaction with the outcome of the judgment will require other measures, according to the applicable procedural guidelines. so it is that, opposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
